roll_no,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,science_score,total_score,grade,percentage,pass_fail
std-6092,female,group C,associate's degree,1.0,0.0,68.0,52.0,77.0,45.0,242.0,D,60.5,Pass
std-6093,female,group D,some college,0.0,1.0,61.0,60.0,66.0,61.0,248.0,D,62.0,Pass
std-6094,female,group D,high school,0.0,1.0,91.0,80.0,100.0,45.0,316.0,B,79.0,Pass
std-6095,female,group A,associate's degree,1.0,0.0,41.0,49.0,67.0,86.0,243.0,D,60.75000000000001,Pass
std-6096,female,group D,high school,1.0,0.0,90.0,44.0,53.0,54.0,241.0,D,60.25,Pass
std-6097,female,group D,associate's degree,0.0,0.0,30.0,48.0,71.0,70.0,219.0,D,54.75,Pass
std-6098,female,group C,bachelor's degree,0.0,0.0,63.0,73.0,77.0,83.0,296.0,C,74.0,Pass
std-6099,female,group D,associate's degree,0.0,0.0,55.0,83.0,96.0,94.0,328.0,B,82.0,Pass
std-6100,female,group D,some college,0.0,1.0,77.0,74.0,61.0,50.0,262.0,C,65.5,Pass
std-6101,female,group D,some high school,0.0,0.0,67.0,29.0,100.0,81.0,277.0,C,69.25,Pass
std-6102,female,group C,high school,0.0,0.0,54.0,56.0,52.0,73.0,235.0,D,58.75,Pass
std-6103,female,group B,bachelor's degree,1.0,1.0,100.0,100.0,94.0,71.0,365.0,A,91.25,Pass
std-6104,female,group A,associate's degree,1.0,0.0,67.0,83.0,74.0,79.0,303.0,B,75.75,Pass
std-6105,female,group D,master's degree,1.0,0.0,53.0,64.0,97.0,41.0,255.0,C,63.74999999999999,Pass
std-6106,female,group D,some college,1.0,1.0,30.0,55.0,74.0,84.0,243.0,D,60.75000000000001,Pass
std-6107,female,group A,some high school,1.0,1.0,59.0,55.0,83.0,55.0,252.0,C,63.0,Pass
std-6108,female,group B,some college,0.0,0.0,35.0,86.0,74.0,64.0,259.0,C,64.75,Pass
std-6109,female,group E,some high school,1.0,0.0,84.0,71.0,70.0,85.0,310.0,B,77.5,Pass
std-6110,female,group E,some college,1.0,1.0,58.0,47.0,85.0,96.0,286.0,C,71.5,Pass
std-6111,female,group A,bachelor's degree,1.0,0.0,43.0,88.0,84.0,51.0,266.0,C,66.5,Pass
std-6112,female,group D,master's degree,1.0,0.0,38.0,78.0,89.0,57.0,262.0,C,65.5,Pass
std-6113,female,group B,associate's degree,1.0,1.0,67.0,76.0,65.0,71.0,279.0,C,69.75,Pass
std-6114,female,group B,some college,0.0,0.0,45.0,77.0,71.0,58.0,251.0,C,62.74999999999999,Pass
std-6115,female,group E,high school,1.0,0.0,27.0,95.0,48.0,79.0,249.0,D,62.25000000000001,Pass
std-6116,female,group A,some college,1.0,1.0,43.0,99.0,79.0,68.0,289.0,C,72.25,Pass
std-6117,female,group B,high school,0.0,1.0,89.0,100.0,98.0,65.0,352.0,A,88.0,Pass
std-6118,female,group C,associate's degree,1.0,0.0,67.0,82.0,89.0,59.0,297.0,C,74.25,Pass
std-6119,female,group D,some high school,0.0,0.0,84.0,74.0,80.0,62.0,300.0,B,75.0,Pass
std-6120,female,group D,some college,1.0,0.0,47.0,52.0,73.0,80.0,252.0,C,63.0,Pass
std-6121,female,group D,some college,0.0,1.0,82.0,87.0,66.0,56.0,291.0,C,72.75,Pass
std-6122,female,group C,some high school,1.0,1.0,27.0,41.0,61.0,43.0,172.0,D,43.0,Pass
std-6123,female,group B,some college,1.0,1.0,49.0,100.0,62.0,73.0,284.0,C,71.0,Pass
std-6124,female,group A,associate's degree,0.0,1.0,33.0,64.0,86.0,81.0,264.0,C,66.0,Pass
std-6125,female,group B,high school,1.0,0.0,90.0,89.0,50.0,82.0,311.0,B,77.75,Pass
std-6126,female,group C,master's degree,1.0,0.0,44.0,55.0,73.0,88.0,260.0,C,65.0,Pass
std-6127,female,group A,some high school,1.0,0.0,90.0,71.0,58.0,79.0,298.0,C,74.5,Pass
std-6128,female,group D,master's degree,1.0,1.0,80.0,80.0,96.0,82.0,338.0,B,84.5,Pass
std-6129,female,group C,associate's degree,1.0,0.0,61.0,42.0,60.0,53.0,216.0,D,54.0,Pass
std-6130,female,group C,some high school,0.0,0.0,34.0,100.0,78.0,37.0,249.0,D,62.25000000000001,Pass
std-6131,female,group A,some high school,0.0,0.0,82.0,46.0,88.0,43.0,259.0,C,64.75,Pass
std-6132,female,group E,some high school,0.0,0.0,74.0,32.0,88.0,55.0,249.0,D,62.25000000000001,Pass
std-6133,female,group C,high school,1.0,0.0,90.0,61.0,52.0,80.0,283.0,C,70.75,Pass
std-6134,female,group C,bachelor's degree,1.0,1.0,51.0,91.0,63.0,61.0,266.0,C,66.5,Pass
std-6135,female,group B,associate's degree,1.0,0.0,57.0,41.0,100.0,52.0,250.0,C,62.5,Pass
std-6136,female,group D,some high school,1.0,0.0,100.0,50.0,88.0,85.0,323.0,B,80.75,Pass
std-6137,female,group C,master's degree,0.0,1.0,48.0,68.0,81.0,97.0,294.0,C,73.5,Pass
std-6138,female,group A,some high school,0.0,1.0,64.0,56.0,82.0,72.0,274.0,C,68.5,Pass
std-6139,female,group D,some college,0.0,1.0,84.0,93.0,92.0,87.0,356.0,A,89.0,Pass
std-6140,female,group A,some college,1.0,0.0,45.0,73.0,79.0,82.0,279.0,C,69.75,Pass
std-6141,female,group B,some college,1.0,0.0,40.0,74.0,60.0,43.0,217.0,D,54.25,Pass
std-6142,female,group B,high school,0.0,0.0,62.0,94.0,78.0,59.0,293.0,C,73.25,Pass
std-6143,female,group C,some college,1.0,1.0,58.0,91.0,91.0,79.0,319.0,B,79.75,Pass
std-6144,female,group B,associate's degree,0.0,0.0,40.0,94.0,82.0,69.0,285.0,C,71.25,Pass
std-6145,female,group E,associate's degree,0.0,1.0,63.0,62.0,87.0,73.0,285.0,C,71.25,Pass
std-6146,female,group D,bachelor's degree,0.0,1.0,89.0,95.0,48.0,82.0,314.0,B,78.5,Pass
std-6147,female,group D,some high school,0.0,1.0,58.0,59.0,76.0,68.0,261.0,C,65.25,Pass
std-6148,female,group A,some high school,0.0,0.0,79.0,62.0,85.0,80.0,306.0,B,76.5,Pass
std-6149,female,group D,some college,1.0,0.0,54.0,56.0,79.0,55.0,244.0,D,61.0,Pass
std-6150,female,group B,some high school,1.0,0.0,27.0,57.0,82.0,56.0,222.0,D,55.50000000000001,Pass
std-6151,female,group D,some high school,1.0,1.0,88.0,83.0,100.0,65.0,336.0,B,84.0,Pass
std-6152,female,group C,bachelor's degree,1.0,0.0,56.0,64.0,88.0,53.0,261.0,C,65.25,Pass
std-6153,female,group E,some high school,1.0,0.0,84.0,77.0,89.0,81.0,331.0,B,82.75,Pass
std-6154,female,group B,high school,0.0,0.0,66.0,92.0,90.0,74.0,322.0,B,80.5,Pass
std-6155,female,group D,high school,1.0,0.0,38.0,44.0,73.0,62.0,217.0,D,54.25,Pass
std-6156,female,group C,some high school,0.0,1.0,80.0,99.0,50.0,100.0,329.0,B,82.25,Pass
std-6157,female,group E,associate's degree,0.0,0.0,100.0,70.0,94.0,50.0,314.0,B,78.5,Pass
std-6158,female,group A,high school,0.0,0.0,91.0,68.0,99.0,66.0,324.0,B,81.0,Pass
std-6159,female,group C,some high school,0.0,1.0,49.0,95.0,95.0,94.0,333.0,B,83.25,Pass
std-6160,female,group E,some college,0.0,1.0,90.0,38.0,67.0,60.0,255.0,C,63.74999999999999,Pass
std-6161,female,group A,bachelor's degree,0.0,1.0,49.0,86.0,81.0,63.0,279.0,C,69.75,Pass
std-6162,female,group A,associate's degree,1.0,0.0,75.0,38.0,71.41579791499599,58.0,242.415797914996,D,60.603949478748994,Pass
std-6163,female,group E,high school,0.0,0.0,54.0,70.12591478696741,85.0,62.0,271.1259147869674,C,67.78147869674186,Pass
std-6164,female,group E,some high school,1.0,1.0,57.178746867167916,72.0,58.0,75.0,262.1787468671679,C,65.54468671679197,Pass
std-6165,female,group E,high school,0.0,0.0,64.0,92.0,70.0,44.0,270.0,C,67.5,Pass
std-6166,female,group A,some college,Unknown,0.0,76.0,62.0,99.0,66.0,303.0,B,75.75,Pass
std-6167,female,group D,Unknown,1.0,0.0,86.0,91.0,63.0,63.0,303.0,B,75.75,Pass
std-6168,female,Unknown,some high school,0.0,0.0,77.0,77.0,40.0,66.0,260.0,C,65.0,Pass
std-6169,Unknown,group C,bachelor's degree,0.0,1.0,55.0,66.0,85.0,83.0,289.0,C,72.25,Pass
std-6170,female,group A,bachelor's degree,1.0,1.0,53.0,54.0,82.0,61.0,250.0,C,62.5,Pass
std-6171,female,group A,some college,1.0,0.0,61.0,45.0,100.0,49.0,255.0,C,63.74999999999999,Pass
std-6172,female,group B,high school,0.0,1.0,64.0,77.0,49.0,56.0,246.0,D,61.5,Pass
std-6173,female,group C,high school,0.0,0.0,65.0,70.0,65.0,100.0,300.0,B,75.0,Pass
std-6174,female,group C,some college,1.0,1.0,58.0,62.0,74.0,100.0,294.0,C,73.5,Pass
std-6175,female,group C,high school,1.0,0.0,66.0,76.0,97.0,66.0,305.0,B,76.25,Pass
std-6176,female,group C,some high school,0.0,0.0,74.0,96.0,99.0,64.0,333.0,B,83.25,Pass
std-6177,female,group C,some college,1.0,1.0,58.0,66.0,100.0,100.0,324.0,B,81.0,Pass
std-6178,female,group C,high school,1.0,1.0,55.0,75.0,77.0,58.0,265.0,C,66.25,Pass
std-6179,female,group E,bachelor's degree,1.0,1.0,77.0,76.0,86.0,57.0,296.0,C,74.0,Pass
std-6180,female,group B,some college,1.0,0.0,84.0,93.0,58.0,77.0,312.0,B,78.0,Pass
std-6181,female,group C,some high school,0.0,0.0,54.0,79.0,82.0,80.0,295.0,C,73.75,Pass
std-6182,female,group E,some high school,1.0,1.0,67.0,80.0,57.0,46.0,250.0,C,62.5,Pass
std-6183,female,group C,bachelor's degree,1.0,0.0,51.0,88.0,66.0,99.0,304.0,B,76.0,Pass
std-6184,female,group C,some college,1.0,0.0,63.0,94.0,100.0,63.0,320.0,B,80.0,Pass
std-6185,female,group B,some college,1.0,1.0,41.0,63.0,93.0,76.0,273.0,C,68.25,Pass
std-6186,female,group D,associate's degree,1.0,0.0,60.0,71.0,80.0,71.0,282.0,C,70.5,Pass
std-6187,female,group B,some high school,1.0,1.0,88.0,52.0,91.0,59.0,290.0,C,72.5,Pass
std-6188,female,group A,some high school,0.0,1.0,68.0,92.0,31.0,88.0,279.0,C,69.75,Pass
std-6189,female,group D,high school,0.0,0.0,67.0,65.0,60.0,52.0,244.0,D,61.0,Pass
std-6190,female,group E,high school,0.0,1.0,40.0,55.0,63.0,45.0,203.0,D,50.74999999999999,Pass
std-6192,female,group E,some college,1.0,1.0,57.0,88.0,54.0,84.0,283.0,C,70.75,Pass
std-6193,female,group E,high school,1.0,0.0,62.0,49.0,62.0,83.0,256.0,C,64.0,Pass
std-6194,female,group E,master's degree,1.0,0.0,35.0,50.0,79.0,79.0,243.0,D,60.75000000000001,Pass
std-6195,female,group A,high school,0.0,1.0,96.0,58.0,66.0,45.0,265.0,C,66.25,Pass
std-6196,female,group A,some high school,1.0,0.0,49.0,84.0,84.0,82.0,299.0,C,74.75,Pass
std-6197,female,group D,bachelor's degree,0.0,0.0,60.0,81.0,58.0,67.0,266.0,C,66.5,Pass
std-6198,female,group D,bachelor's degree,1.0,1.0,77.0,88.0,59.0,87.0,311.0,B,77.75,Pass
std-6199,female,group B,high school,1.0,0.0,72.0,62.0,81.0,92.0,307.0,B,76.75,Pass
std-6200,female,group E,bachelor's degree,1.0,0.0,85.0,74.0,100.0,74.0,333.0,B,83.25,Pass
std-6201,female,group D,some college,0.0,0.0,67.0,91.0,72.0,100.0,330.0,B,82.5,Pass
std-6202,female,group A,some high school,1.0,0.0,81.0,70.0,59.0,48.0,258.0,C,64.5,Pass
std-6203,female,group B,associate's degree,1.0,0.0,90.0,56.0,89.0,59.0,294.0,C,73.5,Pass
std-6204,female,group C,bachelor's degree,0.0,1.0,73.0,75.0,88.0,99.0,335.0,B,83.75,Pass
std-6205,female,group A,associate's degree,0.0,0.0,56.0,67.0,66.0,70.0,259.0,C,64.75,Pass
std-6206,female,group C,some college,1.0,0.0,87.0,70.0,55.0,88.0,300.0,B,75.0,Pass
std-6207,female,group E,some high school,1.0,1.0,70.0,85.0,61.0,84.0,300.0,B,75.0,Pass
std-6208,female,group C,some high school,0.0,1.0,71.0,76.0,62.0,48.0,257.0,C,64.25,Pass
std-6209,female,group A,associate's degree,1.0,0.0,80.0,88.0,91.0,61.0,320.0,B,80.0,Pass
std-6210,female,group A,high school,0.0,0.0,91.0,76.0,57.0,87.0,311.0,B,77.75,Pass
std-6211,female,group D,associate's degree,1.0,0.0,53.0,87.0,75.0,75.0,290.0,C,72.5,Pass
std-6212,female,group A,associate's degree,1.0,0.0,48.0,47.0,32.0,59.0,186.0,D,46.5,Pass
std-6213,female,group D,some high school,1.0,0.0,29.0,44.0,79.0,71.0,223.0,D,55.75,Pass
std-6214,female,group C,high school,0.0,0.0,81.0,74.0,81.0,75.0,311.0,B,77.75,Pass
std-6215,female,group E,some high school,0.0,0.0,47.0,92.0,67.0,53.0,259.0,C,64.75,Pass
std-6216,female,group B,bachelor's degree,1.0,1.0,84.0,96.0,37.0,34.0,251.0,C,62.74999999999999,Pass
std-6217,female,group D,high school,1.0,1.0,83.0,47.0,79.0,92.0,301.0,B,75.25,Pass
std-6218,female,group E,high school,1.0,0.0,31.0,72.0,90.0,89.0,282.0,C,70.5,Pass
std-6219,female,group E,high school,1.0,0.0,77.0,74.0,71.0,94.0,316.0,B,79.0,Pass
std-6220,female,group E,some college,0.0,0.0,53.0,57.0,70.0,64.0,244.0,D,61.0,Pass
std-6221,female,group B,some high school,1.0,1.0,50.0,77.0,64.0,50.0,241.0,D,60.25,Pass
std-6222,female,group A,bachelor's degree,1.0,0.0,64.0,63.0,32.0,58.0,217.0,D,54.25,Pass
std-6223,female,group C,some college,1.0,1.0,63.0,45.0,77.0,56.0,241.0,D,60.25,Pass
std-6224,female,group A,associate's degree,0.0,1.0,27.0,81.0,87.0,97.0,292.0,C,73.0,Pass
std-6225,female,group D,high school,0.0,0.0,65.0,42.0,61.0,66.0,234.0,D,58.5,Pass
std-6226,female,group D,associate's degree,1.0,0.0,50.0,67.0,82.0,68.0,267.0,C,66.75,Pass
std-6227,female,group A,some high school,0.0,0.0,51.0,37.0,68.0,100.0,256.0,C,64.0,Pass
std-6228,female,group B,associate's degree,1.0,1.0,66.0,94.0,92.0,81.0,333.0,B,83.25,Pass
std-6229,female,group C,high school,1.0,1.0,81.0,67.0,57.0,74.0,279.0,C,69.75,Pass
std-6230,female,group D,some college,0.0,0.0,75.0,80.0,60.0,58.0,273.0,C,68.25,Pass
std-6231,female,group E,some college,1.0,0.0,68.0,63.0,92.0,54.0,277.0,C,69.25,Pass
std-6232,female,group D,bachelor's degree,1.0,1.0,56.0,60.0,84.0,75.0,275.0,C,68.75,Pass
std-6233,female,Unknown,some high school,1.0,0.0,48.0,67.0,96.0,77.0,288.0,C,72.0,Pass
std-6234,female,group A,Unknown,1.0,0.0,54.0,53.0,62.0,80.0,249.0,D,62.25000000000001,Pass
std-6235,female,group A,associate's degree,Unknown,0.0,83.0,58.0,71.0,76.0,288.0,C,72.0,Pass
std-6236,female,group C,associate's degree,1.0,Unknown,49.0,45.0,28.0,30.0,152.0,D,38.0,Fail
std-6237,female,group C,associate's degree,1.0,1.0,57.178746867167916,30.0,79.0,74.0,240.17874686716792,D,60.044686716791986,Pass
std-6238,female,group C,high school,1.0,1.0,51.0,70.12591478696741,63.0,65.0,249.12591478696743,D,62.28147869674186,Pass
std-6239,female,group C,associate's degree,1.0,0.0,81.0,72.0,70.0,62.0,285.0,C,71.25,Pass
std-6240,female,group C,high school,1.0,0.0,63.0,43.0,45.0,66.06304500350807,217.06304500350808,D,54.26576125087702,Pass
std-6241,female,group A,master's degree,1.0,0.0,73.0,55.0,65.0,59.0,252.0,C,63.0,Pass
std-6242,female,group C,associate's degree,1.0,0.0,48.0,82.0,87.0,92.0,309.0,B,77.25,Pass
std-6243,female,group D,bachelor's degree,1.0,0.0,40.0,65.0,79.0,58.0,242.0,D,60.5,Pass
std-6244,female,group E,high school,0.0,0.0,57.0,100.0,77.0,68.0,302.0,B,75.5,Pass
std-6245,female,group C,some college,0.0,1.0,50.0,81.0,73.0,70.0,274.0,C,68.5,Pass
std-6246,female,group C,some college,1.0,0.0,92.0,85.0,93.0,64.0,334.0,B,83.5,Pass
std-6247,female,group C,bachelor's degree,1.0,0.0,32.0,74.0,67.0,59.0,232.0,D,57.99999999999999,Pass
std-6248,female,group C,some college,1.0,0.0,84.0,87.0,99.0,68.0,338.0,B,84.5,Pass
std-6249,female,group C,associate's degree,1.0,0.0,57.0,82.0,83.0,70.0,292.0,C,73.0,Pass
std-6250,female,group D,bachelor's degree,1.0,1.0,30.0,49.0,77.0,31.0,187.0,D,46.75,Pass
std-6251,female,group E,associate's degree,1.0,0.0,65.0,64.0,100.0,63.0,292.0,C,73.0,Pass
std-6252,female,group A,some college,1.0,0.0,29.0,99.0,77.0,59.0,264.0,C,66.0,Pass
std-6253,female,group E,some college,1.0,1.0,85.0,59.0,89.0,99.0,332.0,B,83.0,Pass
std-6254,female,group D,high school,0.0,1.0,81.0,100.0,100.0,49.0,330.0,B,82.5,Pass
std-6255,female,group C,high school,0.0,1.0,65.0,58.0,100.0,42.0,265.0,C,66.25,Pass
std-6256,female,group A,bachelor's degree,1.0,1.0,63.0,84.0,69.0,73.0,289.0,C,72.25,Pass
std-6257,female,group C,associate's degree,0.0,1.0,69.0,80.0,76.0,55.0,280.0,C,70.0,Pass
std-6258,female,group C,some college,1.0,0.0,79.0,86.0,82.0,41.0,288.0,C,72.0,Pass
std-6259,female,group D,some high school,1.0,1.0,76.0,68.0,77.0,45.0,266.0,C,66.5,Pass
std-6260,female,group D,bachelor's degree,1.0,0.0,42.0,92.0,69.0,25.0,228.0,D,56.99999999999999,Pass
std-6261,female,group D,associate's degree,1.0,1.0,74.0,70.0,91.0,80.0,315.0,B,78.75,Pass
std-6262,female,group D,some college,1.0,0.0,42.0,81.0,86.0,66.0,275.0,C,68.75,Pass
std-6263,female,group C,associate's degree,1.0,1.0,82.0,74.0,76.0,58.0,290.0,C,72.5,Pass
std-6264,female,group D,high school,0.0,1.0,53.0,75.0,73.0,81.0,282.0,C,70.5,Pass
std-6265,female,group A,bachelor's degree,1.0,0.0,49.0,69.0,79.0,70.0,267.0,C,66.75,Pass
std-6266,female,group B,associate's degree,0.0,1.0,100.0,62.0,100.0,58.0,320.0,B,80.0,Pass
std-6267,female,group B,high school,1.0,1.0,33.0,96.0,100.0,86.0,315.0,B,78.75,Pass
std-6268,female,group B,associate's degree,1.0,0.0,47.0,63.0,96.0,77.0,283.0,C,70.75,Pass
std-6269,female,group B,high school,0.0,0.0,61.0,100.0,92.0,41.0,294.0,C,73.5,Pass
std-6270,female,group B,some high school,1.0,1.0,78.0,83.0,84.0,63.0,308.0,B,77.0,Pass
std-6271,female,group B,some high school,0.0,0.0,68.0,66.0,100.0,68.0,302.0,B,75.5,Pass
std-6272,female,group C,some college,1.0,0.0,72.0,78.0,92.0,59.0,301.0,B,75.25,Pass
std-6273,female,group E,associate's degree,1.0,1.0,64.0,89.0,75.0,73.0,301.0,B,75.25,Pass
std-6274,female,group C,high school,1.0,0.0,92.0,96.0,77.0,76.0,341.0,B,85.25,Pass
std-6275,female,group E,high school,1.0,0.0,77.0,96.0,100.0,67.0,340.0,B,85.0,Pass
std-6276,female,group B,bachelor's degree,1.0,1.0,50.0,71.0,36.0,53.0,210.0,D,52.5,Pass
std-6277,female,group E,some college,1.0,0.0,90.0,91.0,73.0,50.0,304.0,B,76.0,Pass
std-6278,female,group D,some high school,1.0,0.0,77.0,84.0,39.0,77.0,277.0,C,69.25,Pass
std-6279,female,group E,bachelor's degree,1.0,1.0,86.0,72.0,81.0,90.0,329.0,B,82.25,Pass
std-6280,female,group B,associate's degree,0.0,0.0,28.0,68.0,69.0,73.0,238.0,D,59.5,Pass
std-6281,female,group E,some high school,0.0,1.0,47.0,60.0,100.0,54.0,261.0,C,65.25,Pass
std-6282,female,group D,some college,1.0,0.0,72.0,23.0,71.0,47.0,213.0,D,53.25,Pass
std-6283,female,group C,high school,1.0,1.0,70.0,56.0,74.0,52.0,252.0,C,63.0,Pass
std-6284,female,group A,associate's degree,1.0,1.0,69.0,40.0,44.0,68.0,221.0,D,55.25,Pass
std-6285,female,group C,bachelor's degree,1.0,0.0,69.0,33.0,44.0,88.0,234.0,D,58.5,Pass
std-6286,female,group D,associate's degree,1.0,1.0,46.0,43.0,89.0,61.0,239.0,D,59.75,Pass
std-6287,female,group B,high school,1.0,0.0,58.0,76.0,97.0,76.0,307.0,B,76.75,Pass
std-6288,female,group C,some college,1.0,1.0,43.0,81.0,70.0,67.0,261.0,C,65.25,Pass
std-6289,female,group A,some college,0.0,1.0,77.0,55.0,81.0,68.0,281.0,C,70.25,Pass
std-6290,female,group C,associate's degree,1.0,0.0,72.0,92.0,89.0,95.0,348.0,B,87.0,Pass
std-6291,female,group C,some college,1.0,1.0,45.0,98.0,66.0,60.0,269.0,C,67.25,Pass
std-6292,female,group C,associate's degree,0.0,0.0,90.0,48.0,82.0,100.0,320.0,B,80.0,Pass
std-6293,female,group E,some college,0.0,0.0,77.0,43.0,99.0,44.0,263.0,C,65.75,Pass
std-6294,female,group B,some college,0.0,1.0,61.0,57.0,93.0,48.0,259.0,C,64.75,Pass
std-6295,female,group D,some college,1.0,0.0,69.0,90.0,62.0,33.0,254.0,C,63.5,Pass
std-6296,female,group C,bachelor's degree,1.0,1.0,71.0,30.0,77.0,48.0,226.0,D,56.49999999999999,Pass
std-6297,female,group E,high school,0.0,0.0,58.0,84.0,59.0,76.0,277.0,C,69.25,Pass
std-6298,female,group C,associate's degree,1.0,0.0,77.0,80.0,54.0,70.0,281.0,C,70.25,Pass
std-6299,female,group C,associate's degree,1.0,0.0,79.0,73.0,83.0,76.0,311.0,B,77.75,Pass
std-6300,female,group E,some high school,0.0,0.0,57.0,100.0,94.0,30.0,281.0,C,70.25,Pass
std-6301,female,group E,some college,0.0,1.0,48.0,89.0,79.0,66.0,282.0,C,70.5,Pass
std-6302,female,group D,associate's degree,0.0,1.0,60.0,50.0,56.0,69.0,235.0,D,58.75,Pass
std-6303,female,group C,some college,1.0,0.0,50.0,98.0,82.0,47.0,277.0,C,69.25,Pass
std-6304,female,group C,associate's degree,1.0,0.0,72.0,42.0,100.0,65.0,279.0,C,69.75,Pass
std-6305,female,group E,some college,0.0,1.0,56.0,32.0,89.0,100.0,277.0,C,69.25,Pass
std-6306,female,group D,some college,0.0,1.0,84.0,47.0,70.0,96.0,297.0,C,74.25,Pass
std-6307,female,group C,some college,1.0,0.0,60.0,84.0,98.0,70.0,312.0,B,78.0,Pass
std-6308,female,group A,high school,0.0,0.0,62.0,95.0,74.0,64.0,295.0,C,73.75,Pass
std-6309,female,group D,high school,0.0,0.0,67.0,87.0,97.0,70.0,321.0,B,80.25,Pass
std-6310,female,group A,associate's degree,0.0,1.0,66.0,64.0,24.0,50.0,204.0,D,51.0,Pass
std-6311,female,group C,some college,1.0,0.0,41.0,89.0,39.0,87.0,256.0,C,64.0,Pass
std-6312,female,group A,some college,0.0,0.0,92.0,94.0,80.0,70.0,336.0,B,84.0,Pass
std-6313,female,group E,high school,1.0,1.0,51.0,62.0,84.0,93.0,290.0,C,72.5,Pass
std-6314,female,group C,associate's degree,0.0,0.0,99.0,34.0,66.0,50.0,249.0,D,62.25000000000001,Pass
std-6315,female,group E,some college,1.0,1.0,36.0,73.0,86.0,100.0,295.0,C,73.75,Pass
std-6316,female,group D,some high school,0.0,1.0,68.0,66.0,92.0,74.0,300.0,B,75.0,Pass
std-6317,female,group B,associate's degree,1.0,0.0,56.0,90.0,78.0,90.0,314.0,B,78.5,Pass
std-6318,female,group C,master's degree,1.0,1.0,52.0,100.0,57.0,56.0,265.0,C,66.25,Pass
std-6319,female,group C,high school,1.0,1.0,72.0,47.0,100.0,78.0,297.0,C,74.25,Pass
std-6320,female,group D,associate's degree,1.0,1.0,58.0,70.0,35.0,48.0,211.0,D,52.75,Pass
std-6321,female,group E,high school,0.0,1.0,27.0,27.0,87.0,97.0,238.0,D,59.5,Pass
std-6322,female,group B,some college,0.0,1.0,57.0,42.0,100.0,71.0,270.0,C,67.5,Pass
std-6323,female,group D,some high school,1.0,1.0,75.0,80.0,39.0,71.0,265.0,C,66.25,Pass
std-6324,female,group B,high school,1.0,0.0,70.0,96.0,73.0,59.0,298.0,C,74.5,Pass
std-6325,female,group B,some high school,1.0,1.0,77.0,62.0,83.0,100.0,322.0,B,80.5,Pass
std-6326,female,group D,associate's degree,1.0,1.0,64.0,73.0,99.0,92.0,328.0,B,82.0,Pass
std-6327,female,group C,high school,0.0,0.0,70.0,97.0,84.0,43.0,294.0,C,73.5,Pass
std-6328,female,group A,high school,1.0,1.0,41.0,57.0,70.0,73.0,241.0,D,60.25,Pass
std-6329,female,group C,high school,1.0,1.0,52.0,74.0,81.0,93.0,300.0,B,75.0,Pass
std-6330,female,group B,some college,1.0,1.0,69.0,83.0,56.0,67.0,275.0,C,68.75,Pass
std-6331,female,group B,some high school,1.0,0.0,72.0,64.0,96.0,89.0,321.0,B,80.25,Pass
std-6332,female,group D,some college,1.0,1.0,100.0,67.0,100.0,61.0,328.0,B,82.0,Pass
std-6333,female,group C,high school,0.0,0.0,55.0,89.0,67.0,44.0,255.0,C,63.74999999999999,Pass
std-6334,female,group B,high school,1.0,0.0,75.0,66.0,100.0,74.0,315.0,B,78.75,Pass
std-6335,female,group A,some college,1.0,0.0,35.0,87.0,77.0,71.0,270.0,C,67.5,Pass
std-6336,female,group B,associate's degree,1.0,0.0,75.0,69.0,82.0,87.0,313.0,B,78.25,Pass
std-6337,female,group C,associate's degree,1.0,0.0,42.0,52.0,50.0,67.0,211.0,D,52.75,Pass
std-6338,female,group E,some high school,0.0,0.0,28.0,100.0,54.0,65.0,247.0,D,61.75000000000001,Pass
std-6339,female,group A,some college,0.0,1.0,60.0,98.0,78.0,74.0,310.0,B,77.5,Pass
std-6340,female,group B,bachelor's degree,1.0,0.0,85.0,60.0,71.0,61.0,277.0,C,69.25,Pass
std-6341,female,group C,some college,1.0,0.0,53.0,90.0,60.0,44.0,247.0,D,61.75000000000001,Pass
std-6342,female,group C,some college,1.0,0.0,71.0,57.0,69.0,73.0,270.0,C,67.5,Pass
std-6343,female,group B,high school,1.0,1.0,53.0,90.0,100.0,49.0,292.0,C,73.0,Pass
std-6344,female,group A,some high school,0.0,1.0,69.0,72.0,76.0,72.0,289.0,C,72.25,Pass
std-6345,female,group A,some college,1.0,1.0,58.0,83.0,57.0,77.0,275.0,C,68.75,Pass
std-6346,female,group C,some college,1.0,0.0,54.0,99.0,100.0,92.0,345.0,B,86.25,Pass
std-6347,female,group D,associate's degree,1.0,0.0,41.0,68.0,100.0,73.0,282.0,C,70.5,Pass
std-6348,female,group A,master's degree,1.0,0.0,47.0,76.0,68.0,86.0,277.0,C,69.25,Pass
std-6349,female,group C,some college,1.0,1.0,34.0,45.0,86.0,74.0,239.0,D,59.75,Pass
std-6350,female,group B,high school,0.0,1.0,77.0,82.0,81.0,96.0,336.0,B,84.0,Pass
std-6351,female,group A,high school,0.0,0.0,39.0,79.0,72.0,40.0,230.0,D,57.49999999999999,Pass
std-6352,female,group B,some high school,1.0,1.0,27.0,59.0,97.0,81.0,264.0,C,66.0,Pass
std-6353,female,group E,some high school,1.0,0.0,50.0,62.0,83.0,55.0,250.0,C,62.5,Pass
std-6354,female,group D,some high school,1.0,1.0,100.0,33.0,74.0,61.0,268.0,C,67.0,Pass
